MASV,INDEX_F_MAMH,list_score,list_similarity,prediction,F_MAMH,F_MAKH,TKET
20790201,31.0,"9.0,8.5,9.5,7.5,7.0","0.8391121679377538,0.8074164431796548,0.799456737136398,0.7584923591610558,0.7570569573013283",8.329595085959916,503003,MT,9.0
21025211,124.0,"0.0,0.0,0.0,7.0","0.6630203707273098,0.6031591149803487,0.5940437046099969,0.576390053131141",1.6558764025296053,3003,MT,1.5
21289476,26.0,"5.5,7.5,8.0,6.5,8.5","0.800335898380117,0.7656288659656503,0.7354064135401271,0.7350028479735427,0.7322725170282771",7.172110688313958,1004,MT,5.0
21289476,39.0,"8.5,8.5,5.5,5.5,7.5","0.8067302367535597,0.7846649206036909,0.7811682940149138,0.7742200534289769,0.7692271898180093",7.112007817134345,501302,MT,10.0
21289476,40.0,"8.5,6.5,5.5,7.5,7.5","0.7628495032073644,0.7255545632027222,0.7014623718735085,0.6776762462990789,0.6763119722328397",7.114648472923119,506010,MT,8.5
21289476,59.0,"5.5,7.5,8.0,6.5,5.5","0.7860792963577058,0.7604103735879991,0.7586621341112049,0.7532835982770203,0.7500501245925913",6.595122891039806,503008,MT,9.5
21529742,4.0,"7.0,6.5,7.0,4.5,7.5","0.789145046403185,0.7728207013128747,0.7580170663465194,0.739635180216761,0.739566776124141",6.508917037236354,CO1009,MT,6.5
21529742,6.0,"7.0,8.0,1.0,7.0,8.0","0.7332092241681247,0.7033576508361182,0.6982949116229777,0.6872217939622958,0.68296015845712",6.200166426109376,MT2001,MT,6.0
21538299,33.0,"7.0,7.0,7.5,6.5,0.0","0.2793410824968897,0.23524684941706753,0.2257550275990976,0.21490225125657633,0.19879498953041133",5.798881929605891,CO3005,MT,2.5
21538299,39.0,"7.0,7.0,5.0,5.0,6.0,6.0","0.7846649206036909,0.7846649206036909,0.7811682940149138,0.7811682940149138,0.7742200534289769,0.7742200534289769",6.00149425085169,501302,MT,6.5
21538299,39.0,"7.0,7.0,5.0,5.0,6.0,6.0","0.7846649206036909,0.7846649206036909,0.7811682940149138,0.7811682940149138,0.7742200534289769,0.7742200534289769",6.00149425085169,501302,MT,6.5
21572655,46.0,"5.5,8.0,0.0,6.0,5.0","0.6628528612486292,0.6612735607451995,0.6546031609370349,0.6497661362933922,0.6304752571984298",4.905490856543326,LA1003,MT,0.0
21630329,3.0,"6.0,7.5,7.5,4.0,6.0","0.811112465518883,0.799711299603107,0.799711299603107,0.7983465096046731,0.7938243881412995",6.200474600713512,PE1003,MT,5.0
21665156,1.0,"8.5,8.5,7.0,7.5,8.0","0.7571597756553327,0.7571597756553327,0.7570368723256772,0.755511107800725,0.7307369739739081",7.899501757029801,CO2003,MT,6.5
21665156,8.0,"9.0,8.0,7.0,7.0,8.0","0.7422546518861034,0.722211735384479,0.7183062741870603,0.7033813813254293,0.7032605157894952",7.810712027674903,MT1005,MT,2.0
21665156,9.0,"8.0,7.0,7.0,9.0,7.0","0.8505209399716357,0.8470115738508361,0.811112465518883,0.8009374439453248,0.7973135720616393",7.597140962576114,CH1003,MT,7.0
21665156,14.0,"8.0,7.0,9.0,8.0,7.0","0.8470718745427088,0.8287667523107037,0.8006053966133693,0.767967226407416,0.7664289293565281",7.801889317562819,CO1007,MT,6.0
21721536,1.0,"8.5,8.5,8.0,8.0,9.5","0.7571597756553327,0.7571597756553327,0.7570368723256772,0.755511107800725,0.6988008835897682",8.484573746219167,CO2003,MT,7.5
21721536,4.0,"8.0,7.5,6.5,8.0,6.5","0.789145046403185,0.7728207013128747,0.7580170663465194,0.7483390981908294,0.739635180216761",7.308582356217296,CO1009,MT,8.0
21721536,15.0,"9.5,8.0,8.5,8.5,9.5","0.825599501258673,0.8139473418754974,0.8135772514863984,0.8135772514863984,0.7625373512822752",8.79314797913773,CO2005,MT,8.5
21768618,30.0,"8.0,10.0,8.0,8.0","0.7103179598733865,0.6597878189558992,0.4025417993432541,0.4025417993432541",8.60664862174844,1025,MT,8.0
21768618,54.0,"10.0,8.0,8.0,8.0","0.7238511042917264,0.6430505898165644,0.5677509182506649,0.5677509182506649",8.578524682720044,501303,MT,9.42
21811034,19.0,"4.0,5.0,6.5,7.5,8.0","0.7751660347613237,0.7611984455410121,0.7444472541640987,0.7405025430720532,0.7190146387141275",6.16294722140783,CO2017,MT,4.0
22118148,40.0,"7.0,5.0,5.0,4.5,6.0","0.71518459577883,0.7038279231834879,0.7038279231834879,0.7014623718735085,0.6943160367789892",5.504162035622989,506010,MT,8.0
22118148,120.0,"6.0,7.0,5.0,5.0,0.0","0.7028696205833642,0.6461525194320754,0.5737538781123241,0.5737538781123241,0.5635677011087197",4.731164180250715,7005,MT,7.0
22207524,30.0,"7.5,6.5,8.5,8.5,5.0","0.800335898380117,0.7509053550566549,0.7278584565534725,0.7278584565534725,0.6787531499669955",7.230833146800439,1025,MT,6.0
22207524,71.0,"5.0,6.5,8.5,8.5,7.5","0.6829619001068267,0.6468852963051015,0.6455424925078896,0.6455424925078896,0.6399556464945214",7.173952273840146,700211,MT,6.5
22237606,24.0,"7.0,7.0,5.5,6.0,6.5","0.8697646385512399,0.8697646385512399,0.8470115738508361,0.8287667523107037,0.8015527718453053",6.4071275127422735,PH1003,MT,3.0
22237606,41.0,"5.5,6.0,5.0,0.5,7.0,7.0","0.5395660055267608,0.5305019652398731,0.5231223010865088,0.4867965192905835,0.48427011483458426,0.48427011483458426",5.17935910910449,LA1007,MT,4.5
22278093,5.0,"5.0,5.5,5.5,6.0,7.0","0.8505209399716357,0.8470718745427088,0.8290331963730082,0.799711299603107,0.7973979980005522",5.783891202814604,CO1005,MT,6.5
