F_MAMH,NAMHOC,F_MAKH,F_MANG,F_TENMHVN,F_DVHT,TEN_KHKTVN,KHOI,COMPULSARY,avg_TKET,std_TKET,range_TKET,PASS_RATE,LEVEL
ME2005,2020,CK,CDT,Trang bị điện - điện tử trong máy công nghiệp,4,Cơ sở ngành,CSN,5,6.449701195219124,1.5525715683773695,8.5,95.1195219123506,1
ME2007,2020,CK,CKT,Chi tiết máy,3,Cơ sở ngành,CSN,4,6.416857798165138,2.143053335985963,10.0,87.38532110091744,2
ME2007,2020,CK,CDT,Chi tiết máy,3,Cơ sở ngành,CSN,5,6.416857798165138,2.143053335985963,10.0,87.38532110091744,2
ME2009,2020,CK,CKT,Kỹ thuật điều khiển tự động,3,Cơ sở ngành,CSN,7,7.426181102362205,1.8472121920138522,10.0,95.2755905511811,1
ME2009,2020,CK,CDT,Kỹ thuật điều khiển tự động,3,Cơ sở ngành,CSN,5,7.426181102362205,1.8472121920138522,10.0,95.2755905511811,1
ME2013,2020,CK,CKT,Nhiệt động lực học và truyền nhiệt,3,Cơ sở ngành,CSN,6,6.676315789473684,2.254864011486074,10.0,90.70175438596492,2
ME2015,2020,CK,CKT,Vật liệu học và xử lý,3,Chuyên ngành,CN,4,6.612828438948996,1.5433686789584575,9.5,95.6723338485317,1
ME2019,2020,CK,CK,Môi trường và con người,3,Con người và môi trường,DC,8,7.535893155258765,1.380997589816927,9.5,97.8297161936561,1
ME2033,2020,CK,CDM,Thực tập kỹ thuật,3,Chuyên ngành,CN,5,7.409090909090909,1.8102641456583837,9.0,95.45454545454545,1
ME2065,2020,CK,CDM,Công nghệ may 1,3,Cơ sở ngành,CSN,3,7.386792452830188,1.7421293045546584,10.0,96.22641509433963,1
ME2071,2020,CK,CKT,Các quá trình chế tạo,3,Chuyên ngành,CN,6,6.551020408163265,0.7624193060323112,7.5,99.31972789115646,1
ME2087,2020,CK,CKT,Thực tập cơ khí đại cương 2,2,Cơ sở ngành,CSN,4,0.0,0.0,,0.0,0
ME2087,2020,CK,CDT,Thực tập cơ khí đại cương 2,2,Cơ sở ngành,CSN,3,0.0,0.0,,0.0,0
ME2089,2020,CK,CKT,Vẽ kỹ thuật cơ khí,4,Cơ sở ngành,CSN,3,0.0,0.0,,0.0,0
ME2089,2020,CK,CDT,Vẽ kỹ thuật cơ khí,4,Cơ sở ngành,CSN,4,0.0,0.0,,0.0,0
ME2091,2020,CK,CKT,Phương pháp số,3,Toán và KH Tự nhiên,DC,3,0.0,0.0,,0.0,0
ME2091,2020,CK,CDT,Phương pháp số,3,Toán và KH Tự nhiên,DC,3,0.0,0.0,,0.0,0
