F_MAMH,NAMHOC,F_MAKH,F_MANG,F_TENMHVN,F_DVHT,TEN_KHKTVN,KHOI,COMPULSARY,avg_TKET,std_TKET,range_TKET,PASS_RATE,LEVEL
CO3013,2016,MT,KHKH,Xây dựng chương trình dịch,3,Tự chọn chuyên ngành,TC_D,0,5.700980392156863,2.4100242428442242,9.0,77.45098039215686,2
CO3015,2020,MT,KHPM,Kiểm tra phần mềm,3,Tự chọn chuyên ngành,TC_C,0,5.700980392156863,2.410024242844224,9.0,77.45098039215686,2
CO3015,2020,MT,KHKH,Kiểm tra phần mềm,3,Tự chọn chuyên ngành,TC_C,0,5.700980392156863,2.410024242844224,9.0,77.45098039215686,2
CO3015,2016,MT,KHKH,Kiểm tra phần mềm,3,Tự chọn chuyên ngành,TC_D,0,5.700980392156863,2.410024242844224,9.0,77.45098039215686,2
CO3017,2020,MT,KHPM,Kiến trúc phần mềm,3,Tự chọn chuyên ngành,TC_C,0,5.700980392156863,2.410024242844224,9.0,77.45098039215686,2
CO3017,2020,MT,KHKH,Kiến trúc phần mềm,3,Tự chọn chuyên ngành,TC_C,0,5.700980392156863,2.410024242844224,9.0,77.45098039215686,2
CO3017,2016,MT,KHKH,Kiến trúc phần mềm,3,Tự chọn chuyên ngành,TC_D,0,5.700980392156863,2.410024242844224,9.0,77.45098039215686,2
CO3021,2020,MT,KHDL,Hệ quản trị cơ sở dữ liệu,3,Tự chọn chuyên ngành,TC_C,0,5.803921568627451,2.331613199610839,9.0,77.45098039215686,2
CO3021,2020,MT,KHKH,Hệ quản trị cơ sở dữ liệu,3,Tự chọn chuyên ngành,TC_C,0,5.803921568627451,2.331613199610839,9.0,77.45098039215686,2
CO3021,2016,MT,KHKH,Hệ quản trị cơ sở dữ liệu,3,Tự chọn chuyên ngành,TC_D,0,5.803921568627451,2.331613199610839,9.0,77.45098039215686,2
CO3023,2020,MT,KHDL,Cơ sở dữ liệu phân tán và hướng đối tượng,3,Tự chọn chuyên ngành,TC_C,0,5.877450980392157,2.2254560935471095,9.0,79.41176470588235,2
CO3023,2020,MT,KHKH,Cơ sở dữ liệu phân tán và hướng đối tượng,3,Tự chọn chuyên ngành,TC_C,0,5.877450980392157,2.2254560935471095,9.0,79.41176470588235,2
CO3023,2016,MT,KHKH,Cơ sở dữ liệu phân tán và hướng đối tượng,3,Tự chọn chuyên ngành,TC_D,0,5.877450980392157,2.2254560935471095,9.0,79.41176470588235,2
CO3025,2016,MT,KHKH,Phân tích và thiết kế hệ thống,4,Tự chọn chuyên ngành,TC_D,0,5.887254901960785,2.315367155138585,9.0,79.41176470588235,2
CO3027,2020,MT,KHDL,Thương mại điện tử,3,Tự chọn chuyên ngành,TC_C,0,5.887254901960785,2.251409748396269,9.0,79.41176470588235,2
CO3027,2020,MT,KHKH,Thương mại điện tử,3,Tự chọn chuyên ngành,TC_C,0,5.887254901960785,2.251409748396269,9.0,79.41176470588235,2
CO3027,2016,MT,KHKH,Thương mại điện tử,3,Tự chọn chuyên ngành,TC_D,0,5.887254901960785,2.251409748396269,9.0,79.41176470588235,2
CO3029,2020,MT,KHDL,Khai phá dữ liệu,3,Tự chọn chuyên ngành,TC_C,0,5.965686274509804,2.1643600612789107,9.0,80.3921568627451,2
CO3029,2020,MT,KHKH,Khai phá dữ liệu,3,Tự chọn chuyên ngành,TC_C,0,5.965686274509804,2.1643600612789107,9.0,80.3921568627451,2
CO3029,2020,MT,KHAI,Khai phá dữ liệu,3,Tự chọn chuyên ngành,TC_C,0,5.965686274509804,2.1643600612789107,9.0,80.3921568627451,2
CO3029,2016,MT,KHKH,Khai phá dữ liệu,3,Tự chọn chuyên ngành,TC_D,0,5.965686274509804,2.1643600612789107,9.0,80.3921568627451,2
CO3031,2020,MT,KHKH,Phân tích và thiết kế giải thuật,3,Tự chọn chuyên ngành,TC_C,0,6.175675675675675,2.7453976836367495,10.0,79.72972972972973,2
CO3031,2016,MT,KHKH,Phân tích và thiết kế giải thuật,3,Chuyên ngành,CN,6,6.175675675675675,2.7453976836367495,10.0,79.72972972972973,2
CO3033,2020,MT,KHDL,Bảo mật hệ thống thông tin,3,Tự chọn chuyên ngành,TC_C,0,5.916666666666667,2.1846486603060224,9.0,79.41176470588235,2
CO3033,2020,MT,KHKH,Bảo mật hệ thống thông tin,3,Tự chọn chuyên ngành,TC_C,0,5.916666666666667,2.1846486603060224,9.0,79.41176470588235,2
CO3033,2016,MT,KHKH,Bảo mật hệ thống thông tin,3,Tự chọn chuyên ngành,TC_D,0,5.916666666666667,2.1846486603060224,9.0,79.41176470588235,2
CO3035,2020,MT,KHKH,Hệ thời gian thực,3,Tự chọn chuyên ngành,TC_C,0,5.867647058823529,2.23819949582473,9.0,79.41176470588235,2
CO3035,2020,MT,KHAI,Hệ thời gian thực,3,Tự chọn chuyên ngành,TC_C,0,5.867647058823529,2.23819949582473,9.0,79.41176470588235,2
CO3035,2016,MT,KHKH,Hệ thời gian thực,3,Tự chọn chuyên ngành,TC_D,0,5.867647058823529,2.23819949582473,9.0,79.41176470588235,2
CO3037,2020,MT,KHKH,Phát triển ứng dụng internet of things,3,Tự chọn chuyên ngành,TC_C,0,5.759803921568627,2.4176848349552484,9.0,77.45098039215686,2
CO3037,2020,MT,KHAI,Phát triển ứng dụng internet of things,3,Tự chọn chuyên ngành,TC_C,0,5.759803921568627,2.4176848349552484,9.0,77.45098039215686,2
CO3037,2016,MT,KHKH,Phát triển ứng dụng internet of things,3,Tự chọn chuyên ngành,TC_D,0,5.759803921568627,2.4176848349552484,9.0,77.45098039215686,2
CO3041,2020,MT,KHKH,Hệ thống thông minh,3,Tự chọn chuyên ngành,TC_C,0,5.779411764705882,2.3256783630960434,9.0,77.45098039215686,2
CO3041,2020,MT,KHAI,Hệ thống thông minh,3,Tự chọn chuyên ngành,TC_C,0,5.779411764705882,2.3256783630960434,9.0,77.45098039215686,2
